Model,Language,SpecLanguage,PromptStyle,TestCase,Run,Status,CyclesCompleted
falcon3-3b,en,s,expression,fewshot,1,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,20,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,9,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,18,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,25,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,minilang,hyper,guided,16,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,10,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,13,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,hyper,23,"FAIL: Cycle 9 failed.",8
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,14,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,fizzbuzz,4,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,fewshot,fizzbuzz,24,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,hyper,guided,29,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,27,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,14,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,hyper,guided,11,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,17,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,22,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,27,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,20,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,fewshot,fizzbuzz,23,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,28,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,fizzbuzz,3,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,s,expression,hyper,24,"FAIL: Cycle 7 failed.",6
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,13,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,18,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,29,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,14,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,22,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,hyper,guided,27,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,21,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,11,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,hyper,guided,30,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,hyper,guided,18,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,fewshot,fizzbuzz,15,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,16,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,s,expression,fewshot,3,"FAIL: Cycle 6 failed.",5
